fold,bias,score,clean_Macro_F1,missing_Macro_F1,clean_MAE,missing_MAE,clean_Accuracy
4,0.2,0.5729041408963148,0.6397042955651977,0.6206002065776974,0.5657422542572021,0.5792199492454528,0.6483704974271012
4,0.3,0.573192359584197,0.6406939643953747,0.6199134041088804,0.5632867217063904,0.5789397716522217,0.6449399656946827
4,0.4,0.5691555200297912,0.6348515622436712,0.6176214067080469,0.563974142074585,0.5776451468467713,0.6380789022298456
4,0.5,0.559662156145845,0.6267743224710572,0.6073271757375334,0.5677195191383362,0.5800523400306702,0.6260720411663808
4,0.6,0.5464055895405436,0.6127068775902166,0.5957893913174546,0.5732780694961548,0.5835728287696839,0.6106346483704974
4,0.7,0.5356460531564985,0.6050975368427564,0.581962239147975,0.5716554522514343,0.5860212445259094,0.6003430531732419
4,0.8,0.5286698626130676,0.5975557584935124,0.575526071978213,0.571664035320282,0.5857570171356201,0.5900514579759862
4,0.9,0.5196688788888661,0.593697377453923,0.5618868898758113,0.5717106461524963,0.5907544493675232,0.5849056603773585
4,1.0,0.5130311737341053,0.591063132143583,0.5512148842413299,0.5706990361213684,0.5914576530456543,0.58147512864494
5,-1.0,0.43261803135843246,0.49382554839781073,0.4919197072626272,0.5944696664810181,0.6106222629547119,0.6092943201376936
5,-0.9,0.4570462320206409,0.5232508782100287,0.5112448875471038,0.5935516357421875,0.6104813814163208,0.6179001721170396
5,-0.8,0.48547062459623946,0.554083751186553,0.5371127894678704,0.5929691791534424,0.6095837354660034,0.6265060240963856
5,-0.7,0.4971823808247672,0.5650811007836706,0.5494213213692511,0.5925177335739136,0.608858871459961,0.6299483648881239
5,-0.6,0.5048712275111402,0.5733006103798071,0.55658694022925,0.5929420590400696,0.6085088968276977,0.6282271944922547
5,-0.5,0.5163241300683991,0.5852976979265877,0.5673577672196708,0.5919929146766663,0.6080791354179382,0.6282271944922547
5,-0.4,0.535802017324785,0.6126687721737262,0.5786528389795977,0.589902937412262,0.6072728276252747,0.6437177280550774
5,-0.3,0.5428914071570359,0.6136591021820558,0.5917453573441895,0.5903357863426208,0.6058806657791138,0.6402753872633391
5,-0.2,0.5462549842808984,0.6132199362459909,0.5988916944747718,0.5912120342254639,0.6048045873641967,0.6333907056798623
5,-0.1,0.551437475227326,0.6205107987953395,0.6016706528094437,0.589381754398346,0.6036832571029663,0.6368330464716007
5,-0.0,0.5516969807733003,0.617856144414713,0.6048239132279264,0.590205729007721,0.6026552319526672,0.6316695352839932
