模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
distilled,T,0.3,random,1,0.5975274725274725,0.581559285915377,0.6024980923021974,0.6214836239814758,0.565240354150663,0.29984859072909387,0.002678779408339157,0.057069648264616815
distilled,T,0.5,random,0,0.5810439560439561,0.5689892501721513,0.5893732664855136,0.6375207304954529,0.5281722380493656,0.4997670626601444,0.002678779408339157,0.057069648264616815
distilled,T,0.5,random,1,0.5563186813186813,0.5402587317555285,0.5638322510337653,0.6494268178939819,0.5144401417909972,0.4997670626601444,0.002678779408339157,0.057069648264616815
distilled,T,0.7,random,0,0.5123626373626373,0.5013718232098116,0.5198638498885929,0.6914929747581482,0.471729259754344,0.6995690659212672,0.002678779408339157,0.057069648264616815
distilled,T,0.7,random,1,0.5260989010989011,0.5167969265731059,0.5320585994896633,0.7077298164367676,0.41781056103978775,0.6995690659212672,0.002678779408339157,0.057069648264616815
distilled,A,0.1,random,0,0.6373626373626373,0.6220892858986796,0.6395612491165881,0.5826611518859863,0.640838865983367,0.0,0.104530631260191,0.057069648264616815
distilled,A,0.1,random,1,0.6428571428571429,0.6274719955274658,0.6448188288772444,0.5813341736793518,0.6425355549793884,0.0,0.104530631260191,0.057069648264616815
distilled,A,0.3,random,0,0.6387362637362637,0.6230715091967416,0.6403532915545481,0.5824249982833862,0.6409802497672662,0.0,0.3017120894479385,0.057069648264616815
distilled,A,0.3,random,1,0.635989010989011,0.6194011448324656,0.6374921577115894,0.5846363306045532,0.639213480695936,0.0,0.3017120894479385,0.057069648264616815
distilled,A,0.5,random,0,0.6401098901098901,0.6240081342248525,0.6408352086370662,0.5862662196159363,0.6358358236995226,0.0,0.5010482180293501,0.057069648264616815
distilled,A,0.5,random,1,0.6456043956043956,0.6293361446703915,0.6462759164521513,0.5840784311294556,0.6386733177311849,0.0,0.5010482180293501,0.057069648264616815
distilled,A,0.7,random,0,0.6497252747252747,0.635223359147134,0.6502056058991595,0.5867332816123962,0.6353624408113641,0.0,0.7002678779408339,0.057069648264616815
